"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2013 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2013 inflation-adjusted dollars)",
"1500000US170310317002","Block Group 2, Census Tract 317, Cook County, Illinois","41516","17979",
"1500000US170310317003","Block Group 3, Census Tract 317, Cook County, Illinois","29182","6430",
"1500000US170310317004","Block Group 4, Census Tract 317, Cook County, Illinois","58036","8857",
"1500000US170310318001","Block Group 1, Census Tract 318, Cook County, Illinois","54125","23185",
"1500000US170310319001","Block Group 1, Census Tract 319, Cook County, Illinois","51458","25753",
"1500000US170310319002","Block Group 2, Census Tract 319, Cook County, Illinois","80081","7141",
"1500000US170310321001","Block Group 1, Census Tract 321, Cook County, Illinois","65199","9011",
"1500000US170310321002","Block Group 2, Census Tract 321, Cook County, Illinois","39631","36748",
"1500000US170310321003","Block Group 3, Census Tract 321, Cook County, Illinois","46221","26148",
"1500000US170310321004","Block Group 4, Census Tract 321, Cook County, Illinois","37788","13924",
"1500000US170310321005","Block Group 5, Census Tract 321, Cook County, Illinois","65500","75663",
"1500000US170310401001","Block Group 1, Census Tract 401, Cook County, Illinois","62313","18661",
"1500000US170310401002","Block Group 2, Census Tract 401, Cook County, Illinois","45197","9651",
"1500000US170310401003","Block Group 3, Census Tract 401, Cook County, Illinois","66797","25535",
"1500000US170310402011","Block Group 1, Census Tract 402.01, Cook County, Illinois","41588","37502",
"1500000US170310402012","Block Group 2, Census Tract 402.01, Cook County, Illinois","43576","17986",
"1500000US170310402013","Block Group 3, Census Tract 402.01, Cook County, Illinois","64605","11969",
"1500000US170310402014","Block Group 4, Census Tract 402.01, Cook County, Illinois","68017","14491",
"1500000US170310402021","Block Group 1, Census Tract 402.02, Cook County, Illinois","54063","29668",
"1500000US170310402022","Block Group 2, Census Tract 402.02, Cook County, Illinois","40321","22527",
"1500000US170310402023","Block Group 3, Census Tract 402.02, Cook County, Illinois","40250","55237",
"1500000US170310402024","Block Group 4, Census Tract 402.02, Cook County, Illinois","45568","25724",
"1500000US170310403001","Block Group 1, Census Tract 403, Cook County, Illinois","82833","53996",
"1500000US170310403002","Block Group 2, Census Tract 403, Cook County, Illinois","65278","17209",
"1500000US170310403003","Block Group 3, Census Tract 403, Cook County, Illinois","111382","29546",
