"GEO_ID","NAME","B03002_001E","B03002_001M","B03002_002E","B03002_002M","B03002_003E","B03002_003M","B03002_004E","B03002_004M","B03002_005E","B03002_005M","B03002_006E","B03002_006M","B03002_007E","B03002_007M","B03002_008E","B03002_008M","B03002_009E","B03002_009M","B03002_010E","B03002_010M","B03002_011E","B03002_011M","B03002_012E","B03002_012M","B03002_013E","B03002_013M","B03002_014E","B03002_014M","B03002_015E","B03002_015M","B03002_016E","B03002_016M","B03002_017E","B03002_017M","B03002_018E","B03002_018M","B03002_019E","B03002_019M","B03002_020E","B03002_020M","B03002_021E","B03002_021M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Not Hispanic or Latino","Margin of Error!!Total!!Not Hispanic or Latino","Estimate!!Total!!Not Hispanic or Latino!!White alone","Margin of Error!!Total!!Not Hispanic or Latino!!White alone","Estimate!!Total!!Not Hispanic or Latino!!Black or African American alone","Margin of Error!!Total!!Not Hispanic or Latino!!Black or African American alone","Estimate!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Margin of Error!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Estimate!!Total!!Not Hispanic or Latino!!Asian alone","Margin of Error!!Total!!Not Hispanic or Latino!!Asian alone","Estimate!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Not Hispanic or Latino!!Some other race alone","Margin of Error!!Total!!Not Hispanic or Latino!!Some other race alone","Estimate!!Total!!Not Hispanic or Latino!!Two or more races","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races","Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Estimate!!Total!!Hispanic or Latino","Margin of Error!!Total!!Hispanic or Latino","Estimate!!Total!!Hispanic or Latino!!White alone","Margin of Error!!Total!!Hispanic or Latino!!White alone","Estimate!!Total!!Hispanic or Latino!!Black or African American alone","Margin of Error!!Total!!Hispanic or Latino!!Black or African American alone","Estimate!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone","Margin of Error!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone","Estimate!!Total!!Hispanic or Latino!!Asian alone","Margin of Error!!Total!!Hispanic or Latino!!Asian alone","Estimate!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Hispanic or Latino!!Some other race alone","Margin of Error!!Total!!Hispanic or Latino!!Some other race alone","Estimate!!Total!!Hispanic or Latino!!Two or more races","Margin of Error!!Total!!Hispanic or Latino!!Two or more races","Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race","Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races",
"1500000US170318250001","Block Group 1, Census Tract 8250, Cook County, Illinois","2226","553","1699","359","1544","373","82","67","0","11","14","20","0","11","0","11","59","67","0","11","59","67","527","546","464","510","0","11","43","90","0","11","0","11","0","11","20","52","20","52","0","11",
"1500000US170318250002","Block Group 2, Census Tract 8250, Cook County, Illinois","939","279","683","204","430","182","197","120","0","11","39","63","0","11","0","11","17","22","0","11","17","22","256","202","247","201","0","11","0","11","0","11","0","11","0","11","9","14","0","11","9","14",
"1500000US170318250003","Block Group 3, Census Tract 8250, Cook County, Illinois","1806","506","1559","476","1179","515","70","91","0","11","162","161","0","11","5","10","143","221","0","11","143","221","247","333","247","333","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11",
"1500000US170318252001","Block Group 1, Census Tract 8252, Cook County, Illinois","555","172","533","174","509","175","0","11","16","26","0","11","0","11","0","11","8","13","0","11","8","13","22","28","22","28","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11",
"1500000US170318252002","Block Group 2, Census Tract 8252, Cook County, Illinois","1252","244","867","213","565","162","128","98","19","30","66","74","0","11","58","84","31","22","0","11","31","22","385","114","327","114","0","11","5","8","0","11","0","11","53","60","0","11","0","11","0","11",
"1500000US170318253021","Block Group 1, Census Tract 8253.02, Cook County, Illinois","1988","586","1321","319","1321","319","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","667","450","225","172","0","11","0","11","0","11","0","11","389","441","53","68","35","59","18","30",
"1500000US170318253022","Block Group 2, Census Tract 8253.02, Cook County, Illinois","1385","342","1319","353","1227","338","15","24","0","11","77","90","0","11","0","11","0","11","0","11","0","11","66","68","66","68","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11",
"1500000US170318253023","Block Group 3, Census Tract 8253.02, Cook County, Illinois","2480","415","2027","382","1957","379","20","36","0","11","34","58","0","11","0","11","16","27","0","11","16","27","453","310","366","329","0","11","0","11","0","11","0","11","87","150","0","11","0","11","0","11",
"1500000US170318253031","Block Group 1, Census Tract 8253.03, Cook County, Illinois","1675","439","1047","316","971","311","63","71","0","11","13","23","0","11","0","11","0","11","0","11","0","11","628","450","108","114","16","26","0","11","0","11","0","11","504","426","0","11","0","11","0","11",
"1500000US170318253032","Block Group 2, Census Tract 8253.03, Cook County, Illinois","1031","347","1031","347","969","356","0","11","0","11","20","32","0","11","0","11","42","66","0","11","42","66","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11",
"1500000US170318253033","Block Group 3, Census Tract 8253.03, Cook County, Illinois","660","237","660","237","660","237","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11",
"1500000US170318253034","Block Group 4, Census Tract 8253.03, Cook County, Illinois","588","201","588","201","588","201","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11",
"1500000US170318253041","Block Group 1, Census Tract 8253.04, Cook County, Illinois","1631","318","1533","294","1205","259","191","183","0","11","63","68","0","11","0","11","74","99","0","11","74","99","98","77","98","77","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11",
