"GEO_ID","NAME","B25003_001E","B25003_001M","B25003_002E","B25003_002M","B25003_003E","B25003_003M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Owner occupied","Margin of Error!!Total!!Owner occupied","Estimate!!Total!!Renter occupied","Margin of Error!!Total!!Renter occupied",
"1500000US170310301013","Block Group 3, Census Tract 301.01, Cook County, Illinois","738","166","11","18","727","167",
"1500000US170310301014","Block Group 4, Census Tract 301.01, Cook County, Illinois","795","154","654","130","141","163",
"1500000US170310301021","Block Group 1, Census Tract 301.02, Cook County, Illinois","703","122","567","128","136","85",
"1500000US170310301022","Block Group 2, Census Tract 301.02, Cook County, Illinois","734","153","34","29","700","155",
"1500000US170310301023","Block Group 3, Census Tract 301.02, Cook County, Illinois","480","134","201","67","279","123",
"1500000US170310301031","Block Group 1, Census Tract 301.03, Cook County, Illinois","395","106","40","35","355","107",
"1500000US170310301032","Block Group 2, Census Tract 301.03, Cook County, Illinois","737","133","222","79","515","153",
"1500000US170310301041","Block Group 1, Census Tract 301.04, Cook County, Illinois","847","155","355","121","492","144",
"1500000US170310301042","Block Group 2, Census Tract 301.04, Cook County, Illinois","362","157","0","11","362","157",
"1500000US170310302001","Block Group 1, Census Tract 302, Cook County, Illinois","736","155","296","96","440","139",
"1500000US170310302002","Block Group 2, Census Tract 302, Cook County, Illinois","609","109","302","98","307","115",
"1500000US170310302003","Block Group 3, Census Tract 302, Cook County, Illinois","410","77","308","78","102","71",
"1500000US170310302004","Block Group 4, Census Tract 302, Cook County, Illinois","711","142","271","98","440","154",
"1500000US170310303001","Block Group 1, Census Tract 303, Cook County, Illinois","640","99","219","62","421","114",
"1500000US170310303002","Block Group 2, Census Tract 303, Cook County, Illinois","733","95","285","93","448","101",
"1500000US170310304001","Block Group 1, Census Tract 304, Cook County, Illinois","785","84","229","56","556","87",
"1500000US170310304002","Block Group 2, Census Tract 304, Cook County, Illinois","460","66","252","60","208","69",
"1500000US170310305001","Block Group 1, Census Tract 305, Cook County, Illinois","592","133","314","85","278","129",
